Probe;Cycle;GPSDate;moving_average(Speed);moving_average(EngineSpeed);moving_average(Torque);moving_average(FuelRate)
100001.0;3.0;1.210737738E12;44.5;1555.2;21.2;13.12
100001.0;3.0;1.21073774E12;44.0;1536.0;20.4;11.28
100001.0;3.0;1.210737742E12;43.4;1510.4;20.0;10.360000000000001
100001.0;3.0;1.210737744E12;43.0;1491.2;19.0;10.16
100001.0;3.0;1.210737745E12;42.3;1465.6;18.5;8.6
100001.0;3.0;1.210737747E12;41.2;1430.4;17.9;8.120000000000001
100001.0;3.0;1.210737749E12;39.2;1353.6;17.8;8.56
100001.0;3.0;1.210737751E12;36.7;1283.2;16.9;9.000000000000002
100001.0;3.0;1.210737753E12;34.1;1228.8;17.0;9.520000000000001
100001.0;3.0;1.210737755E12;30.9;1184.0;16.5;8.4
100001.0;3.0;1.210737757E12;27.3;1168.0;16.5;8.92
100001.0;3.0;1.210737759E12;24.1;1132.8;16.2;9.68
100001.0;3.0;1.210737761E12;21.1;1100.8;17.1;11.52
100001.0;3.0;1.210737763E12;18.9;1142.4;18.3;14.319999999999999
100001.0;3.0;1.210737765E12;17.6;1152.0;19.9;18.0
100001.0;3.0;1.210737767E12;17.4;1219.2;21.4;21.919999999999998
100001.0;3.0;1.210737769E12;19.2;1372.8;22.3;23.399999999999995
100001.0;3.0;1.210737771E12;22.2;1542.4;22.3;23.359999999999996
100001.0;3.0;1.210737773E12;25.5;1699.2;23.3;22.839999999999996
100001.0;3.0;1.210737776E12;29.5;1843.2;22.8;21.16
100001.0;3.0;1.210737778E12;33.5;1942.4;23.4;18.88
100001.0;3.0;1.21073778E12;36.5;2032.0;24.0;16.799999999999997
100001.0;3.0;1.210737782E12;38.9;2099.2;23.2;14.4
100001.0;3.0;1.210737784E12;40.4;2099.2;23.0;11.239999999999998
100001.0;3.0;1.210737786E12;40.7;2099.2;22.2;7.56
100001.0;3.0;1.210737788E12;39.3;2006.4;20.7;3.6399999999999997
100001.0;3.0;1.21073779E12;35.8;1843.2;19.9;3.04
100001.0;3.0;1.210737792E12;32.0;1689.6;21.0;7.119999999999999
100001.0;3.0;1.210737794E12;29.4;1612.8;20.4;7.119999999999999
100001.0;3.0;1.210737796E12;26.8;1520.0;19.9;7.2
100001.0;3.0;1.210737798E12;24.4;1459.2;20.1;10.64
100001.0;3.0;1.2107378E12;23.2;1478.4;20.0;10.64
100001.0;3.0;1.210737802E12;22.5;1449.6;20.1;11.400000000000002
100001.0;3.0;1.210737804E12;21.9;1427.2;20.4;14.680000000000001
100001.0;3.0;1.210737805E12;22.5;1472.0;20.1;16.6
100001.0;3.0;1.210737807E12;24.3;1574.4;20.4;17.84
100001.0;3.0;1.210737809E12;27.2;1696.0;21.2;16.52
100001.0;3.0;1.210737811E12;29.3;1750.4;21.0;12.040000000000001
100001.0;3.0;1.210737813E12;29.6;1708.8;20.5;12.040000000000001
100001.0;3.0;1.210737815E12;29.8;1680.0;20.9;13.2
100001.0;3.0;1.210737817E12;29.9;1619.2;19.7;9.96
100001.0;3.0;1.210737819E12;29.0;1494.4;19.0;11.440000000000001
100001.0;3.0;1.210737821E12;28.1;1456.0;19.6;13.64
100001.0;3.0;1.210737823E12;28.0;1452.8;19.5;14.040000000000001
100001.0;3.0;1.210737825E12;28.1;1456.0;19.4;13.48
100001.0;3.0;1.210737827E12;28.1;1452.8;20.0;12.239999999999998
100001.0;3.0;1.210737829E12;27.8;1440.0;20.0;12.239999999999998
100001.0;3.0;1.210737831E12;27.8;1446.4;20.0;12.239999999999998
100001.0;3.0;1.210737833E12;27.9;1446.4;19.9;12.239999999999998
100001.0;3.0;1.210737836E12;27.5;1420.8;19.5;10.68
100001.0;3.0;1.210737838E12;26.2;1398.4;19.6;10.959999999999999
100001.0;3.0;1.21073784E12;24.4;1385.6;19.5;9.959999999999999
100001.0;3.0;1.210737842E12;22.3;1347.2;18.4;6.919999999999999
100001.0;3.0;1.210737844E12;19.9;1315.2;18.3;6.719999999999999
100001.0;3.0;1.210737846E12;17.5;1228.8;17.9;5.359999999999999
100001.0;3.0;1.210737848E12;14.7;1113.6;17.1;6.6
100001.0;3.0;1.21073785E12;12.4;1036.8;16.1;6.6
100001.0;3.0;1.210737852E12;10.6;992.0;15.8;8.36
100001.0;3.0;1.210737854E12;10.0;1020.8;15.9;8.8
100001.0;3.0;1.210737856E12;10.2;1084.8;16.1;9.12
100001.0;3.0;1.210737858E12;11.2;1136.0;16.1;8.64
100001.0;3.0;1.21073786E12;12.0;1132.8;16.2;8.68
100001.0;3.0;1.210737862E12;12.0;1132.8;16.2;8.68
100001.0;3.0;1.210737864E12;11.4;1081.6;15.1;5.68
100001.0;3.0;1.210737865E12;10.0;1046.4;15.1;6.159999999999999
100001.0;3.0;1.210737867E12;8.8;1033.6;15.0;5.3999999999999995
100001.0;3.0;1.210737869E12;7.4;1001.6;15.0;5.879999999999999
100001.0;3.0;1.210737871E12;6.0;966.4;14.3;4.6
100001.0;3.0;1.210737873E12;4.2;902.4;14.3;4.68
100001.0;3.0;1.210737875E12;2.5;838.4;14.1;4.44
100001.0;3.0;1.210737877E12;0.8;787.2;14.1;4.960000000000001
100001.0;3.0;1.210737879E12;0.0;787.2;14.0;4.960000000000001
100001.0;3.0;1.210737881E12;0.0;787.2;14.0;5.000000000000001
100001.0;3.0;1.210737883E12;0.0;784.0;14.0;5.040000000000001
100001.0;3.0;1.210737885E12;0.0;784.0;14.0;5.08
100001.0;3.0;1.210737887E12;0.0;784.0;14.0;5.120000000000001
100001.0;3.0;1.210737889E12;0.0;784.0;14.0;5.160000000000001
100001.0;3.0;1.210737891E12;0.0;784.0;14.0;5.200000000000001
100001.0;3.0;1.210737893E12;0.0;784.0;14.0;5.200000000000001
100001.0;3.0;1.210737896E12;0.0;787.2;14.0;5.200000000000001
100001.0;3.0;1.210737898E12;0.0;790.4;14.0;5.200000000000001
100001.0;3.0;1.2107379E12;0.0;793.6;14.0;5.200000000000001
100001.0;3.0;1.210737902E12;0.0;793.6;14.0;5.200000000000001
100001.0;3.0;1.210737904E12;0.0;796.8;14.0;6.5200000000000005
100001.0;3.0;1.210737906E12;0.6;835.2;14.4;6.0
100001.0;3.0;1.210737908E12;1.3;854.4;14.4;5.64
100001.0;3.0;1.21073791E12;2.0;854.4;14.4;5.6
100001.0;3.0;1.210737912E12;2.3;854.4;14.4;5.6
100001.0;3.0;1.210737914E12;2.3;867.2;15.1;5.76
100001.0;3.0;1.210737916E12;2.5;860.8;16.1;7.0
100001.0;3.0;1.210737918E12;3.6;940.8;17.5;10.68
100001.0;3.0;1.21073792E12;5.6;1043.2;19.4;14.080000000000002
100001.0;3.0;1.210737922E12;8.9;1193.6;21.2;18.12
100001.0;3.0;1.210737924E12;13.0;1337.6;22.6;19.160000000000004
100001.0;3.0;1.210737925E12;16.9;1452.8;22.3;20.160000000000004
100001.0;3.0;1.210737927E12;21.1;1619.2;23.6;23.640000000000004
100001.0;3.0;1.210737929E12;25.9;1785.6;25.0;26.920000000000005
100001.0;3.0;1.210737931E12;31.3;1907.2;26.2;29.240000000000002
100001.0;3.0;1.210737933E12;37.1;2012.8;26.4;28.560000000000002
100001.0;3.0;1.210737935E12;42.2;2118.4;26.4;26.8
100001.0;3.0;1.210737937E12;45.8;2118.4;26.0;22.6
100001.0;3.0;1.210737939E12;48.2;2089.6;24.2;20.240000000000002
100001.0;3.0;1.210737941E12;49.4;2019.2;23.4;17.52
100001.0;3.0;1.210737943E12;50.1;1968.0;23.1;18.32
100001.0;3.0;1.210737945E12;50.9;1920.0;23.1;19.0
100001.0;3.0;1.210737947E12;51.2;1836.8;22.7;16.040000000000003
100001.0;3.0;1.210737949E12;50.7;1763.2;22.3;12.279999999999998
100001.0;3.0;1.210737951E12;49.5;1715.2;22.1;9.44
100001.0;3.0;1.210737953E12;47.4;1676.8;21.9;9.44
100001.0;3.0;1.210737956E12;44.9;1635.2;21.1;9.44
100001.0;3.0;1.210737958E12;42.0;1561.6;20.1;9.599999999999998
100001.0;3.0;1.21073796E12;38.6;1488.0;20.0;8.48
100001.0;3.0;1.210737962E12;34.5;1408.0;19.0;7.119999999999999
100001.0;3.0;1.210737964E12;29.7;1315.2;18.8;3.44
100001.0;3.0;1.210737966E12;24.4;1241.6;18.9;3.12
100001.0;3.0;1.210737968E12;20.1;1196.8;18.0;2.44
100001.0;3.0;1.21073797E12;15.9;1104.0;17.0;2.88
100001.0;3.0;1.210737972E12;12.2;1033.6;16.0;3.4
100001.0;3.0;1.210737974E12;9.2;966.4;15.8;5.12
100001.0;3.0;1.210737976E12;7.6;934.4;15.8;6.36
