GPSDate;Probe;Cycle;SpeedMean;EngineSpeedMean;TorqueMean;FuelRateMean
1.210749637E12;100001.0;14.0;20.014;1611.904;18.872000000000003;8.770399999999995
1.210749738E12;100001.0;14.0;28.99199999999999;1756.3519999999999;21.366;10.351999999999997
1.210749839E12;100001.0;14.0;15.363999999999994;1219.4560000000001;17.734000000000005;7.276800000000001
1.210749938E12;100001.0;14.0;18.043999999999997;1569.92;19.244000000000007;8.137599999999999
1.210750348E12;100001.0;15.0;15.722000000000001;1335.6159999999998;18.064;9.043199999999999
1.210750449E12;100001.0;15.0;25.857999999999997;1651.2640000000001;18.894000000000002;7.980800000000001
1.210750746E12;100001.0;15.0;20.384;1455.552;17.6;6.5280000000000005
1.210750849E12;100001.0;16.0;16.566;1245.9520000000002;17.191999999999997;5.733599999999999
1.21075095E12;100001.0;16.0;21.98;1395.072;17.767999999999997;8.975200000000001
1.21075134E12;100001.0;16.0;12.744000000000002;1158.0800000000004;15.834000000000005;5.5927999999999995
1.210751494E12;100001.0;17.0;10.896;1062.0800000000002;15.54;6.964800000000001
1.210751593E12;100001.0;17.0;14.978000000000002;1103.68;16.183999999999997;7.326400000000001
1.210751693E12;100001.0;17.0;13.356;1141.3120000000004;17.136;6.865600000000001
1.210751794E12;100001.0;17.0;27.342;1697.9839999999997;17.766;8.589599999999999
1.210751893E12;100001.0;17.0;19.032000000000004;1355.4560000000001;16.565999999999995;6.159999999999997
1.210752878E12;100001.0;17.0;5.584;906.048;16.577999999999996;6.725599999999998
1.21075298E12;100001.0;18.0;9.852000000000002;1177.9199999999998;16.112;6.815200000000001
1.210753081E12;100001.0;18.0;35.604;1693.3120000000001;20.567999999999998;11.126399999999999
1.21075318E12;100001.0;18.0;18.844;1391.2319999999997;19.121999999999993;9.227999999999998
